"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1085301";"";"0";"403.52";"1";"6.15";"13a";"COc1cc(C(=O)N2C[C@]3(C)C[C@H]2CC(C)(C)C3)ccc1-c1coc2ccccc12";"Ki";"'='";"3.8";"nM";"8.42";"";"";"UO_0000065";"20.87";"0.38";"2.27";"19.73";"False";"CHEMBL1120488";"Displacement [3H]Arg human recombinant Vasopressin V1a receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1084008";"";"0";"402.54";"1";"5.88";"13f";"COc1cc(C(=O)N2C[C@]3(C)C[C@H]2CC(C)(C)C3)ccc1-c1c[nH]c2ccccc12";"Ki";"'='";"0.1";"nM";"10.00";"";"";"UO_0000065";"24.84";"0.46";"4.12";"22.06";"False";"CHEMBL1120488";"Displacement [3H]Arg human recombinant Vasopressin V1a receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL4173250";"";"0";"524.63";"1";"3.99";"3c";"Cn1ncc2c1Nc1ccccc1N(C(=O)Cc1ccc(N3CCN(Cc4cc(O)cc(O)c4)CC3)cc1)C2";"Ki";"'='";"795.1";"nM";"6.10";"";"";"UO_0000065";"11.63";"0.21";"2.11";"6.28";"False";"CHEMBL4141652";"Displacement of [3H]-vasopressin from human vasopressin V1a receptor expressed in HEK293 cell membranes after 90 mins by radioligand binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138154";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL382301";"ATOSIBAN";"4";"994.21";"3";"-3.04";"Atosiban";"CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1";"Ki";"'='";"0.15";"nM";"9.82";"";"";"UO_0000065";"9.88";"0.20";"12.86";"2.69";"False";"CHEMBL946023";"Binding affinity to human vasopressin V1a receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142309";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1085299";"";"0";"377.53";"1";"5.71";"12k";"COc1cc(C(=O)N2C[C@]3(C)C[C@H]2CC(C)(C)C3)ccc1-c1ccc(C)cc1";"Ki";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"24.10";"0.44";"3.39";"30.80";"False";"CHEMBL1120488";"Displacement [3H]Arg human recombinant Vasopressin V1a receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL315232";"";"0";"452.60";"1";"6.07";"39";"Cc1nnc(-c2ccc(-c3ccccc3)cc2)n1-c1ccccc1OCCCC1CCNCC1";"Ki";"'='";"7.84";"nM";"8.11";"";"";"UO_0000065";"17.91";"0.33";"2.04";"15.60";"False";"CHEMBL820276";"Binding affinity at cloned human Vasopressin V1a receptor stably expressed in CHO cells, using [3H]AVP as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135435";"1";"Scientific Literature";"J. Med. Chem.";"2002";"CHEMBL3308072";""
"CHEMBL432043";"";"0";"568.07";"2";"6.13";"24";"COc1cccc(-c2ccccc2C(=O)Nc2ccc(C(=O)N3C[C@H]4COCCN4Cc4ccccc43)c(Cl)c2)c1";"Ki";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL819379";"Inhibition of [3H]AVP binding to recombinant human vasopressin V1a receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146755";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL143304";"";"0";"451.52";"0";"3.35";"3";"CC(=O)NCCCOc1ccc(C(=O)N2CCC(N3C(=O)OCc4ccccc43)CC2)cc1";"Ki";"'='";"36000.0";"nM";"4.44";"";"";"UO_0000065";"9.84";"0.18";"1.09";"5.04";"False";"CHEMBL820282";"Binding affinity was evaluated by measuring the displacement of [3H]AVP (arginine vasopressin) from specific binding sites in human platelets.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128191";"1";"Scientific Literature";"J. Med. Chem.";"1995";"None";""
"CHEMBL590097";"";"0";"395.46";"0";"2.78";"14";"COCc1nnc(N2CC[C@@H](Oc3ccccc3C)C2)n1-c1ccc(OC)nc1";"Ki";"'='";"255.0";"nM";"6.59";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1050364";"Antagonist activity at human cloned vasopressin V1a receptor by cell based beta lactamase assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153191";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL592733";"";"0";"395.46";"0";"2.78";"17";"COCc1nnc(N2CC[C@H](Oc3ccccc3C)C2)n1-c1ccc(OC)nc1";"Ki";"'='";"522.0";"nM";"6.28";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1050364";"Antagonist activity at human cloned vasopressin V1a receptor by cell based beta lactamase assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1889";"Vasopressin V1a receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153191";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
