"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL294472";"";"0";"384.56";"1";"6.43";"4";"CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(C=O)C[C@H]21";"Ki";"'='";"97.0";"nM";"7.01";"";"";"UO_0000065";"18.24";"0.34";"0.58";"15.07";"False";"CHEMBL657908";"Binding affinity against human cannabinoid receptor by using radioligand ([3H]CP-55940) assay.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129188";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1996";"None";""
"CHEMBL3596747";"";"0";"343.42";"0";"3.46";"13a";"CCOC(=O)CNC(=O)CCCCCOc1ccc2ccccc2c1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3598497";"Displacement of human recombinant CB1 receptor expressed in HEK293 cell membranes incubated for 90 mins by Cheng-Prusoff equation based analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596121";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307715";""
"CHEMBL3596749";"";"0";"297.40";"0";"4.06";"12b";"O=C(CCCCCOc1cccc2ccccc12)NC1CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3598497";"Displacement of human recombinant CB1 receptor expressed in HEK293 cell membranes incubated for 90 mins by Cheng-Prusoff equation based analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596121";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307715";""
"CHEMBL3596757";"";"0";"294.35";"0";"2.28";"18d";"CCNC(=O)NCCCCCOc1ccc2c(c1)OCO2";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3598497";"Displacement of human recombinant CB1 receptor expressed in HEK293 cell membranes incubated for 90 mins by Cheng-Prusoff equation based analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3596121";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307715";""
"CHEMBL239703";"";"0";"551.84";"0";"4.32";"rac-26";"O=C(NN1CCOCC1)C1=NN(c2ccc(Cl)cc2Cl)C(c2ccc(Cl)cc2)C1.O=S(=O)(O)O";"Ki";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"15.04";"0.32";"2.50";"11.94";"False";"CHEMBL901031";"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138302";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3307715";""
"CHEMBL250967";"";"0";"380.49";"0";"3.14";"21";"O=c1c2cn(CCN3CCOCC3)c3ccccc3c-2nn1C1CCCCC1";"Ki";"'>'";"5600.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL941882";"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140571";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL250769";"";"0";"397.52";"0";"2.79";"13";"O=C(NC1CCCCCC1)c1cn(CCN2CCOCC2)c2ccccc2c1=O";"Ki";"'='";"290.0";"nM";"6.54";"";"";"UO_0000065";"16.45";"0.31";"3.75";"10.28";"False";"CHEMBL941882";"Displacement of [3H]CP-55940 from human recombinant CB1 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140571";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL257570";"";"0";"335.41";"0";"2.93";"13a";"CC(C)Cn1nnnc1CNC(=O)c1ccc(-c2ccccc2)cc1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL935749";"Binding affinity to human CB1 receptor expressed in COS cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145628";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL258162";"";"0";"364.41";"0";"1.36";"11b";"CN(C)C(=O)Cn1nnc(CNC(=O)c2ccc(-c3ccccc3)cc2)n1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL935749";"Binding affinity to human CB1 receptor expressed in COS cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145628";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL255096";"";"0";"420.58";"0";"2.96";"30";"Cc1ccc(C(=O)N[C@H]2CC3CC[C@@]2(C)C3(C)C)cc1S(=O)(=O)N1CCOCC1";"Ki";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"17.36";"0.34";"4.34";"9.64";"False";"CHEMBL929250";"Displacement of [3H]CP-55940 from human cloned CB1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145632";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
