tid,cmpd_chembl_id,canonical_smiles,standard_type,value,confidence_score,cmpd_pref_name,activity_comment
10980,CHEMBL356626,CCCOCc1ccc2c(c1)c3c4CNC(=O)c4c5c(Cc6ccccc56)c3n2CCCO,pIC50,7.89,8,,
10980,CHEMBL171558,COc1cc2c(Nc3cccc4occc34)ncnc2cc1OCCCN5CCOCC5,pIC50,6.60,8,,
10980,CHEMBL221053,CCc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1,pIC50,8.22,9,,
10980,CHEMBL3754450,COc1cccc(c1)C(=O)CN2CCN(CC2)c3nnc(c4ccccc4)c5ccccc35,pIC50,5.47,9,,
10980,CHEMBL383255,Cn1cnc(NCc2ccncc2)c1c3oc(Nc4ccc(OC(F)(F)F)cc4)nn3,pIC50,7.105,9,,
10980,CHEMBL407532,Nc1ncnc2NCCC(=Nc12)c3cccc(Cl)c3,pIC50,6.22,8,,
10980,CHEMBL3905242,COc1cc2c(Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)ncnc2cc1OCCCN5CCN(C)CC5,pIC50,6.09,9,,
10980,CHEMBL231127,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cncnc5)c1,pIC50,8.55,9,,
10980,CHEMBL231128,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cncc6ccccc56)c1,pIC50,6.41,9,,
10980,CHEMBL269862,Nc1noc2cccc(c3ccc(NC(=O)Nc4cc(F)cc(F)c4)cc3)c12,pIC50,7.13,9,,
10980,CHEMBL3927158,COc1cc(OC)cc(c1)N(CC#Cc2cccnc2)c3ccc4ncc(nc4c3)c5cnn(C)c5,pIC50,6.06,9,,
10980,CHEMBL190405,COc1cc(OC)cc(c1)c2cc3cnc(NCCCCCOc4ccccc4)cc3nc2NC(=O)NC(C)(C)C,pIC50,7.02,9,,
10980,CHEMBL1761929,COC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,pIC50,5.24,9,,
10980,CHEMBL258222,CC(C)CO\N=C(/C)\c1ccc2c(c1)c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c3n2CC(C)C,pIC50,7.03,9,,
10980,CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC4CCN(C)CC4,pIC50,7.26,8,,
10980,CHEMBL225193,COCCOCC#Cc1cc(cs1)c2n[nH]c3c2Cc4cc(CN5CCN(C)CC5)ccc34,pIC50,7.4399999999999995,9,,
10980,CHEMBL352308,COc1cc2c(Oc3ccc(Nc4ccc(cc4)C(C)(C)C)cc3)ccnc2cc1OCCNCCO,pIC50,7.08,9,,
10980,CHEMBL3951253,COc1cc(OC)cc(c1)N(CCNCC(=O)N)c2ccc3ncc(nc3c2)c4cnn(C)c4,pIC50,5.98,9,,
10980,CHEMBL3927849,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@H]4CO[C@@H]5[C@H](CO[C@H]45)N6CCCCC6,pIC50,6.00,9,,
